,ref_no,project,family,genus,species,day,month,month_numeric,year,state,county,locality,resurvey_site,genusspeciesconcat,ioc.key,latitude,longitude
332,,active_resurvey,Icteridae,Agelaius,phoeniceus,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Agelaiusphoeniceus,Agelaius:phoeniceus,37.038481,-99.776317
333,,active_resurvey,Icteridae,Agelaius,phoeniceus,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Agelaiusphoeniceus,Agelaius:phoeniceus,37.038481,-99.776317
334,,active_resurvey,Passerellidae,Ammodramus,savannarum,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Ammodramussavannarum,Ammodramus:savannarum,37.038481,-99.776317
335,,active_resurvey,Passerellidae,Ammodramus,savannarum,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Ammodramussavannarum,Ammodramus:savannarum,37.038481,-99.776317
336,,active_resurvey,Motacillidae,Anthus,spragueii,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Anthusspragueii,Anthus:spragueii,37.038481,-99.776317
337,,active_resurvey,Charadriidae,Charadrius,vociferus,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Charadriusvociferus,Charadrius:vociferus,37.038481,-99.776317
338,,active_resurvey,Alaudidae,Eremophila,alpestris,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Eremophilaalpestris,Eremophila:alpestris,37.038481,-99.776317
339,,active_resurvey,Icteridae,Euphagus,cyanocephalus,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Euphaguscyanocephalus,Euphagus:cyanocephalus,37.038481,-99.776317
340,,active_resurvey,Icteridae,Molothrus,ater,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Molothrusater,Molothrus:ater,37.038481,-99.776317
341,,active_resurvey,Anatidae,Spatula,discors,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Spatuladiscors,Spatula:discors,37.038481,-99.776317
342,,active_resurvey,Anatidae,Spatula,discors,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Spatuladiscors,Spatula:discors,37.038481,-99.776317
343,,active_resurvey,Passerellidae,Spizella,pusilla,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Spizellapusilla,Spizella:pusilla,37.038481,-99.776317
344,,active_resurvey,Icteridae,Sturnella,magna,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Sturnellamagna,Sturnella:magna,37.038481,-99.776317
345,,active_resurvey,Scolopacidae,Tringa,flavipes,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Tringaflavipes,Tringa:flavipes,37.038481,-99.776317
346,,active_resurvey,Scolopacidae,Tringa,melanoleuca,14,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Tringamelanoleuca,Tringa:melanoleuca,37.038481,-99.776317
348,,active_resurvey,Alaudidae,Eremophila,alpestris,15,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Eremophilaalpestris,Eremophila:alpestris,37.038481,-99.776317
349,,active_resurvey,Laniidae,Lanius,ludovicianus,15,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Laniusludovicianus,Lanius:ludovicianus,37.038481,-99.776317
350,,active_resurvey,Passerellidae,Peucaea,cassinii,15,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Peucaeacassinii,Peucaea:cassinii,37.038481,-99.776317
351,,active_resurvey,Passerellidae,Peucaea,cassinii,15,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Peucaeacassinii,Peucaea:cassinii,37.038481,-99.776317
352,,active_resurvey,Passerellidae,Zonotrichia,leucophrys,15,April,4,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Zonotrichialeucophrys,Zonotrichia:leucophrys,37.038481,-99.776317
474,,active_resurvey,Odontophoridae,Colinus,virginianus,20,June,6,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Colinusvirginianus,Colinus:virginianus,37.038481,-99.776317
475,,active_resurvey,Tyrannidae,Tyrannus,forficatus,20,June,6,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Tyrannusforficatus,Tyrannus:forficatus,37.038481,-99.776317
476,,active_resurvey,Cardinalidae,Spiza,americana,20,June,6,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Spizaamericana,Spiza:americana,37.038481,-99.776317
477,,active_resurvey,Caprimulgidae,Chordeiles,minor,20,June,6,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Chordeilesminor,Chordeiles:minor,37.038481,-99.776317
478,,active_resurvey,Tyrannidae,Tyrannus,tyrannus,20,June,6,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Tyrannustyrannus,Tyrannus:tyrannus,37.038481,-99.776317
479,,active_resurvey,Passeridae,Passer,domesticus,20,June,6,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Passerdomesticus,Passer:domesticus,37.038481,-99.776317
480,,active_resurvey,Passeridae,Passer,domesticus,20,June,6,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Passerdomesticus,Passer:domesticus,37.038481,-99.776317
481,,active_resurvey,Passeridae,Passer,domesticus,20,June,6,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Passerdomesticus,Passer:domesticus,37.038481,-99.776317
482,,active_resurvey,Troglodytidae,Troglodytes,aedon,20,June,6,2023,Kansas,Clark,Cimarron River,Kansas: Clark Co.; Cimarron River,Troglodytesaedon,Troglodytes:aedon,37.038481,-99.776317
